entry_timestamp,exit_timestamp,window,hmm_state,setup_quality,setup_quality_bucket,volatility,volatility_percentile,volatility_bucket,pnl_R,pnl_points,exit_reason,holding_bars,past_return_30,past_return_30_quality,directional_pressure_30,directional_pressure_30_quality,close_location_30,close_location_30_quality,normalized_momentum_30,normalized_momentum_30_quality
2025-10-24 11:56:00-04:00,2025-10-24 12:00:00-04:00,4,2,0.42960689970665655,40-60%,0.001302114226554978,0.34136454467599203,20-40%,-1.0,-20.0,stop,4,-0.0011831566444122335,0.2315316865261264,-0.21869148591012164,0.2711080044140606,0.0,1.0,-0.9086427444560895,0.21578790788643898
2025-10-24 15:53:00-04:00,2025-10-24 15:59:00-04:00,4,2,0.7879584084379769,60-80%,0.0006143100843082807,0.048165308856145284,00-20%,1.3,26.0,target,6,-0.0010946696498894007,0.15183363375190798,-0.37048604273910907,1.0,0.0,1.0,-1.7819496665466752,1.0
2025-10-24 16:02:00-04:00,2025-10-24 16:17:00-04:00,4,2,0.7246415385005593,60-80%,0.0008648299102117483,0.12056039877906849,00-20%,0.2625,5.25,timeout,15,-0.001812516549575955,0.7983806252452804,-0.45279241431623357,1.0,0.10204081632653061,0.1001855287569573,-2.095806965247272,1.0
2025-10-24 16:18:00-04:00,2025-10-24 16:33:00-04:00,4,2,0.8341697272057601,80-100%,0.0008969524565603311,0.13451766617624453,00-20%,-0.6375,-12.75,timeout,15,-0.0014254202311680892,0.4497325218766534,-0.35245666111166934,1.0,0.01282051282051282,0.8869463869463869,-1.5891814786196665,1.0
2025-10-28 10:33:00-04:00,2025-10-28 10:38:00-04:00,4,2,0.3957577482445301,20-40%,0.0013897690957636454,0.3846593030149981,20-40%,-1.0,-20.0,stop,5,-0.0012453360926895252,0.28753518146906587,-0.19303881532162548,0.09954653524282862,0.0,1.0,-0.8960741007161642,0.1959492762662258
2025-10-28 10:40:00-04:00,2025-10-28 10:55:00-04:00,4,2,0.5216626270048091,40-60%,0.0013552637093470514,0.36718856364874064,20-40%,-0.625,-12.5,timeout,15,-0.0014921900415984387,0.509870442755291,-0.25121835738563764,0.48864316663556645,0.04891304347826087,0.5686758893280631,-1.1010329807453907,0.5194610093003158
2025-10-28 15:51:00-04:00,2025-10-28 16:06:00-04:00,4,2,0.5846274967060838,40-60%,0.001276725731110136,0.32828564527108633,20-40%,0.6875,13.75,timeout,15,-0.0013518306125968982,0.3834521680670547,-0.25324798001507637,0.5022169986063336,0.0,1.0,-1.0588261673252697,0.4528408201509471
2025-10-29 10:50:00-04:00,2025-10-29 10:53:00-04:00,4,2,0.34345277092721505,20-40%,0.0012572701078483659,0.31728408616790005,20-40%,-1.0,-20.0,stop,3,-0.0010741949283117778,0.13339255718884588,-0.19464216283736835,0.11026949893754223,0.0,1.0,-0.8543867555636915,0.13014902758247215
2025-10-29 11:05:00-04:00,2025-10-29 11:20:00-04:00,4,2,0.6372834365004153,60-80%,0.0016058447504415665,0.4825753749533367,40-60%,-0.5375,-10.75,timeout,15,-0.001827706267004656,0.8120616289655017,-0.26354402586533027,0.5710755116656352,0.04672897196261682,0.5879354290569244,-1.1381587581876038,0.5780611763135998
2025-10-29 11:38:00-04:00,2025-10-29 11:53:00-04:00,4,2,0.4496485981318007,40-60%,0.0013189007052899849,0.3495201914842223,20-40%,-0.65,-13.0,timeout,15,-0.0012168377872174949,0.2618674608539239,-0.22284477863216157,0.29888464462129477,0.0,1.0,-0.9226151615029659,0.2378422870519841
