dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.7,8,0.1,95,27,0.28421052631578947,0.5555555555555556,,,0.056296296296296275,
DEVELOPMENT,0.7,8,0.2,95,26,0.2736842105263158,0.5384615384615384,,,0.028461538461538424,
DEVELOPMENT,0.7,8,0.3,95,21,0.22105263157894736,0.5714285714285714,,,0.11523809523809521,
DEVELOPMENT,0.7,8,0.4,95,18,0.18947368421052632,0.6111111111111112,,,0.21111111111111114,
DEVELOPMENT,0.7,10,-0.5,95,64,0.6736842105263158,0.3125,,,-0.34328125,
DEVELOPMENT,0.7,10,-0.4,95,59,0.6210526315789474,0.3389830508474576,,,-0.31525423728813556,
DEVELOPMENT,0.7,10,-0.3,95,51,0.5368421052631579,0.37254901960784315,,,-0.2823529411764706,
DEVELOPMENT,0.7,10,-0.2,95,44,0.4631578947368421,0.4318181818181818,,,-0.1611363636363636,
DEVELOPMENT,0.7,10,-0.1,95,41,0.43157894736842106,0.4634146341463415,,,-0.13170731707317077,
DEVELOPMENT,0.7,10,0.0,95,35,0.3684210526315789,0.5142857142857142,,,-0.044571428571428595,
DEVELOPMENT,0.7,10,0.1,95,31,0.3263157894736842,0.5483870967741935,,,0.037741935483870954,
DEVELOPMENT,0.7,10,0.2,95,29,0.30526315789473685,0.5172413793103449,,,0.0282758620689655,
DEVELOPMENT,0.7,10,0.3,95,23,0.24210526315789474,0.5652173913043478,,,0.1304347826086956,
DEVELOPMENT,0.7,10,0.4,95,21,0.22105263157894736,0.6190476190476191,,,0.26809523809523805,
DEVELOPMENT,0.7,12,-0.5,95,66,0.6947368421052632,0.30303030303030304,,,-0.34681818181818175,
DEVELOPMENT,0.7,12,-0.4,95,62,0.6526315789473685,0.3225806451612903,,,-0.32725806451612915,
DEVELOPMENT,0.7,12,-0.3,95,54,0.5684210526315789,0.37037037037037035,,,-0.287962962962963,
DEVELOPMENT,0.7,12,-0.2,95,48,0.5052631578947369,0.4166666666666667,,,-0.17958333333333334,
DEVELOPMENT,0.7,12,-0.1,95,44,0.4631578947368421,0.45454545454545453,,,-0.1522727272727273,
DEVELOPMENT,0.7,12,0.0,95,38,0.4,0.5263157894736842,,,-0.033157894736842136,
DEVELOPMENT,0.7,12,0.1,95,34,0.35789473684210527,0.5588235294117647,,,0.04323529411764703,
DEVELOPMENT,0.7,12,0.2,95,32,0.3368421052631579,0.53125,,,0.03937499999999999,
DEVELOPMENT,0.7,12,0.3,95,25,0.2631578947368421,0.56,,,0.128,
DEVELOPMENT,0.7,12,0.4,95,23,0.24210526315789474,0.6086956521739131,,,0.2534782608695652,
DEVELOPMENT,0.75,1,-0.5,95,34,0.35789473684210527,0.38235294117647056,,,-0.27764705882352947,
DEVELOPMENT,0.75,1,-0.4,95,23,0.24210526315789474,0.391304347826087,,,-0.2821739130434782,
DEVELOPMENT,0.75,1,-0.3,95,11,0.11578947368421053,0.36363636363636365,,,-0.4272727272727273,
