mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovery_exits,trades,wins,losses,win_rate,mean_R,total_R,delta_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R
0.6,0.25,4,95,13,95,24,71,0.25263157894736843,-0.7065263157894736,-67.11999999999999,0.37000000000000455,0.12261437908496735,-66.92999999999999,0.1,-13.51,0.25
0.6,0.25,5,95,15,95,26,69,0.2736842105263158,-0.6882105263157893,-65.37999999999998,2.1100000000000136,0.13127823545043846,-65.18999999999997,0.1,-13.51,0.25
0.6,0.25,6,95,16,95,26,69,0.2736842105263158,-0.6881052631578944,-65.36999999999998,2.1200000000000188,0.13141110815838425,-65.17999999999998,0.1,-13.51,0.25
0.6,0.25,8,95,21,95,29,66,0.30526315789473685,-0.6657894736842106,-63.25000000000001,4.239999999999988,0.12613981762917933,-63.06,0.1,-14.68,0.25
0.6,0.25,10,95,24,95,29,66,0.30526315789473685,-0.687157894736842,-65.27999999999999,2.210000000000008,0.09809339596573641,-65.08999999999999,0.1,-14.68,0.25
0.6,0.25,12,95,26,95,31,64,0.3263157894736842,-0.6729473684210526,-63.93,3.559999999999995,0.10624912624073815,-63.99,0.1,-14.68,0.25
0.6,0.5,2,95,0,95,20,75,0.21052631578947367,-0.7104210526315788,-67.49,0.0,0.18559189091347894,-69.04999999999997,0.1,-14.0,0.09
0.6,0.5,3,95,1,95,21,74,0.22105263157894736,-0.6766315789473685,-64.28,3.2099999999999937,0.19810379241516965,-65.83999999999997,0.1,-12.88,0.09
0.6,0.5,4,95,5,95,23,72,0.24210526315789474,-0.6289473684210526,-59.75,7.739999999999995,0.22563504406428198,-61.83999999999999,0.2,-12.88,0.1499999999999998
0.6,0.5,5,95,11,95,25,70,0.2631578947368421,-0.6385263157894737,-60.660000000000004,6.829999999999991,0.2010010537407798,-62.749999999999986,0.2,-13.01,0.5
0.6,0.5,6,95,11,95,25,70,0.2631578947368421,-0.6385263157894737,-60.660000000000004,6.829999999999991,0.2010010537407798,-62.749999999999986,0.2,-13.01,0.5
0.6,0.5,8,95,13,95,25,70,0.2631578947368421,-0.6491578947368422,-61.67,5.819999999999993,0.18769757639620654,-63.75999999999999,0.2,-14.18,0.5
0.6,0.5,10,95,18,95,26,69,0.2736842105263158,-0.6621052631578948,-62.9,4.589999999999996,0.16144514064791363,-63.459999999999994,0.1,-14.18,0.5
0.6,0.5,12,95,21,95,28,67,0.29473684210526313,-0.657578947368421,-62.47,5.019999999999996,0.16327350656308598,-63.029999999999994,0.1,-13.68,0.5
0.7,-0.2,2,95,17,95,13,82,0.1368421052631579,-0.7087368421052631,-67.33,0.1599999999999966,0.0914856294697072,-66.39999999999999,0.1,-14.61,0.09
0.7,-0.2,3,95,27,95,8,87,0.08421052631578947,-0.7146315789473684,-67.89,-0.4000000000000057,0.05603448275862068,-66.85000000000001,0.0,-14.61,-0.2
0.7,-0.2,4,95,32,95,6,89,0.06315789473684211,-0.7202105263157895,-68.42,-0.9300000000000068,0.04387926215762995,-67.38000000000002,0.0,-14.6,-0.2
0.7,-0.2,5,95,37,95,4,91,0.042105263157894736,-0.720421052631579,-68.44,-0.9500000000000028,0.03741209563994373,-67.40000000000002,0.0,-14.629999999999999,-0.2
0.7,-0.2,6,95,38,95,4,91,0.042105263157894736,-0.7017894736842105,-66.67,0.8199999999999932,0.03836722919371123,-65.63000000000001,0.0,-14.629999999999999,-0.2
0.7,-0.2,8,95,40,95,2,93,0.021052631578947368,-0.7317894736842107,-69.52000000000001,-2.0300000000000153,0.0030116162340456053,-68.48000000000002,0.0,-16.5,-0.2
0.7,-0.2,10,95,44,95,1,94,0.010526315789473684,-0.728421052631579,-69.2,-1.710000000000008,0.0014430014430014432,-68.16000000000004,0.0,-16.02,-0.2
0.7,-0.2,12,95,48,95,0,95,0.0,-0.7207368421052633,-68.47000000000001,-0.9800000000000182,0.0,-67.43000000000004,0.0,-16.02,-0.2
0.7,0.0,2,95,7,95,15,80,0.15789473684210525,-0.755578947368421,-71.78,-4.290000000000006,0.10364635364635363,-71.04999999999997,0.1,-14.01,0.09
0.7,0.0,3,95,17,95,10,85,0.10526315789473684,-0.7167368421052632,-68.09,-0.6000000000000085,0.07461266648545803,-67.35999999999999,0.0,-14.01,0.0
0.7,0.0,4,95,22,95,8,87,0.08421052631578947,-0.7158947368421054,-68.01,-0.5200000000000102,0.05594114380899499,-67.07,0.0,-14.01,0.0
0.7,0.0,5,95,25,95,7,88,0.07368421052631578,-0.701578947368421,-66.64999999999999,0.8400000000000034,0.052459482513505816,-65.71,0.0,-14.01,0.0
0.7,0.0,6,95,28,95,6,89,0.06315789473684211,-0.6926315789473684,-65.8,1.6899999999999977,0.04981949458483754,-64.86,0.0,-13.8,0.0
0.7,0.0,8,95,31,95,4,91,0.042105263157894736,-0.6976842105263157,-66.27999999999999,1.210000000000008,0.014863258026159338,-65.34,0.0,-15.469999999999999,0.0
0.7,0.0,10,95,35,95,2,93,0.021052631578947368,-0.694,-65.92999999999999,1.5600000000000023,0.009762691498948631,-64.99,0.0,-15.27,0.0
0.7,0.0,12,95,38,95,0,95,0.0,-0.6971578947368422,-66.23,1.259999999999991,0.0,-65.18999999999998,0.0,-15.27,0.0
