mae_threshold,recovery_level,recovery_horizon,trades,triggered_trades,recovered_trades,recovery_pct,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF
1.0,0.75,7,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
1.0,0.75,8,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
1.0,1.0,7,95,40,2,0.05,-67.49,-62.55,4.939999999999998,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18405948343334202
1.0,1.0,8,95,40,2,0.05,-67.49,-62.55,4.939999999999998,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18405948343334202
0.7,0.0,7,95,95,16,0.16842105263157894,-67.49,-62.620000000000005,4.86999999999999,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.1495314409887274
0.7,0.0,8,95,95,16,0.16842105263157894,-67.49,-62.620000000000005,4.86999999999999,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.1495314409887274
1.0,0.0,4,95,40,3,0.075,-67.49,-62.7,4.789999999999992,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18401874023945866
1.0,0.25,4,95,40,3,0.075,-67.49,-62.7,4.789999999999992,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18401874023945866
1.0,0.5,4,95,40,3,0.075,-67.49,-62.7,4.789999999999992,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18401874023945866
1.0,0.75,4,95,40,3,0.075,-67.49,-62.7,4.789999999999992,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18401874023945866
