rule_type,decision_bar,threshold_a,threshold_b,triggered_trades,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,longest_losing_streak
CLOSE_AND_MFE,10.0,0.25,1.0,166,195,0.06666666666666667,-0.0022441025641025607,-0.4375999999999993,0.972954933128971,-4.9472000000000005,0.3,-1.4307999999999998,2.9824,2
CLOSE_AND_MFE,12.0,-0.75,0.25,45,195,0.13846153846153847,-0.4507692307692307,-87.89999999999999,0.24846872296111883,-90.04240000000001,0.15,-20.572,0.6612,10
CLOSE_AND_MFE,12.0,-0.75,0.5,70,195,0.13846153846153847,-0.31687179487179484,-61.79,0.31987689760839716,-63.9324000000001,0.15,-17.4388,1.598,7
CLOSE_AND_MFE,12.0,-0.75,0.75,81,195,0.13846153846153847,-0.2579569230769231,-50.3016,0.36618163673660725,-52.44400000000007,0.2,-11.1724,1.7056,6
CLOSE_AND_MFE,12.0,-0.75,1.0,84,195,0.13846153846153847,-0.24188923076923072,-47.16839999999999,0.3812324871178651,-49.31080000000005,0.2,-10.128,1.7056,6
CLOSE_AND_MFE,12.0,-0.5,0.25,63,195,0.13333333333333333,-0.37343999999999994,-72.82079999999999,0.28485343682974174,-74.90760000000007,0.15,-18.4832,0.6612,10
CLOSE_AND_MFE,12.0,-0.5,0.5,95,195,0.1282051282051282,-0.2141025641025641,-41.75,0.4088914059181652,-43.83680000000001,0.2,-15.35,1.5424,5
CLOSE_AND_MFE,12.0,-0.5,0.75,108,195,0.1282051282051282,-0.14447589743589742,-28.172799999999995,0.5061977676818664,-30.259599999999974,0.2,-8.0392,2.5148,4
CLOSE_AND_MFE,12.0,-0.5,1.0,111,195,0.1282051282051282,-0.1284082051282051,-25.039599999999997,0.5356122819902225,-27.12639999999998,0.25,-6.9948,2.5148,3
CLOSE_AND_MFE,12.0,-0.25,0.25,73,195,0.13333333333333333,-0.32962461538461535,-64.2768,0.31094397228201687,-66.36360000000009,0.2,-18.4832,1.0424,7
CLOSE_AND_MFE,12.0,-0.25,0.5,108,195,0.12307692307692308,-0.16273230769230765,-31.732799999999994,0.4710953177814963,-33.81959999999998,0.3,-15.9656,2.0868,5
CLOSE_AND_MFE,12.0,-0.25,0.75,124,195,0.12307692307692308,-0.07703794871794871,-15.0224,0.6529565595054379,-17.109199999999994,0.35,-7.6104,2.5148,4
CLOSE_AND_MFE,12.0,-0.25,1.0,127,195,0.12307692307692308,-0.060970256410256406,-11.889199999999999,0.7039069971310168,-14.019999999999996,0.35,-6.566,2.5148,2
CLOSE_AND_MFE,12.0,0.0,0.25,78,195,0.1282051282051282,-0.31792205128205125,-61.9948,0.31493522279733216,-64.0816000000001,0.15,-17.4388,1.0424,7
CLOSE_AND_MFE,12.0,0.0,0.5,118,195,0.11794871794871795,-0.12568615384615384,-24.508799999999997,0.5310900060458104,-26.59559999999999,0.3,-13.8768,2.5148,5
CLOSE_AND_MFE,12.0,0.0,0.75,137,195,0.11794871794871795,-0.029052307692307693,-5.6652000000000005,0.8305050263283867,-9.3128,0.35,-4.4772,4.6036,3
CLOSE_AND_MFE,12.0,0.0,1.0,141,195,0.11794871794871795,-0.007628717948717946,-1.4875999999999996,0.9491356201105096,-7.224,0.35,-2.3884,4.6036,2
CLOSE_AND_MFE,12.0,0.25,0.25,78,195,0.1282051282051282,-0.31792205128205125,-61.9948,0.31493522279733216,-64.0816000000001,0.15,-17.4388,1.0424,7
CLOSE_AND_MFE,12.0,0.25,0.5,125,195,0.11282051282051282,-0.09957948717948717,-19.418,0.5836728043017761,-22.115999999999993,0.4,-12.8324,2.5148,5
CLOSE_AND_MFE,12.0,0.25,0.75,147,195,0.1076923076923077,-0.0021599999999999966,-0.42119999999999935,0.9837617777229479,-8.654799999999998,0.4,-5.1384,4.6036,3
CLOSE_AND_MFE,12.0,0.25,1.0,155,195,0.10256410256410256,0.030379487179487175,5.9239999999999995,1.30304890525885,-6.179599999999997,0.35,-2.0888,4.6036,2
RECOVERY_CONFIRMATION,6.0,0.0,0.5,179,195,0.03076923076923077,0.0016902564102564154,0.329600000000001,1.0346073078538431,-4.302,0.2,-1.0444,3.0312,1
RECOVERY_CONFIRMATION,6.0,0.0,0.75,181,195,0.02564102564102564,-0.0017005128205128178,-0.33159999999999945,0.9608943818104629,-4.302,0.15,-1.0444,3.0312,1
RECOVERY_CONFIRMATION,6.0,0.0,1.0,186,195,0.010256410256410256,-0.01999794871794872,-3.8996,0.4665973628057122,-4.5608,0.05,-1.0444,1.7056,1
RECOVERY_CONFIRMATION,6.0,0.25,0.5,181,195,0.03076923076923077,0.012402051282051282,2.4184,1.3252636109317841,-4.302,0.2,-1.0444,3.0312,1
RECOVERY_CONFIRMATION,6.0,0.25,0.75,182,195,0.02564102564102564,0.003655384615384618,0.7128000000000005,1.095868302130407,-4.302,0.15,-1.0444,3.0312,1
