sample,mae_threshold,decision_bar,window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR
HOLDOUT,0.75,3,14,20,12,-6.62,-10.790000000000001,-4.170000000000001,0.3,0.15
HOLDOUT,0.75,3,15,3,0,-3.53,-3.53,0.0,0.0,0.0
HOLDOUT,0.75,3,16,2,0,1.15,1.15,0.0,0.5,0.5
HOLDOUT,0.75,3,18,9,4,-6.6899999999999995,-8.7,-2.01,0.2222222222222222,0.0
HOLDOUT,0.75,3,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.75,3,20,33,16,-26.269999999999996,-27.409999999999997,-1.1400000000000006,0.2727272727272727,0.15151515151515152
HOLDOUT,0.75,3,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.75,3,22,10,5,-11.400000000000002,-8.240000000000002,3.16,0.1,0.1
DEVELOPMENT,0.75,4,1,8,4,-0.3800000000000001,-3.5999999999999996,-3.2199999999999998,0.5,0.25
DEVELOPMENT,0.75,4,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.75,4,3,14,6,-6.59,-10.18,-3.59,0.21428571428571427,0.07142857142857142
DEVELOPMENT,0.75,4,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.75,4,5,7,4,-14.000000000000002,-4.61,9.39,0.0,0.0
DEVELOPMENT,0.75,4,6,17,8,-11.78,-9.829999999999998,1.950000000000001,0.23529411764705882,0.11764705882352941
DEVELOPMENT,0.75,4,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.75,4,9,19,9,-11.989999999999998,-10.33,1.6599999999999984,0.10526315789473684,0.10526315789473684
DEVELOPMENT,0.75,4,10,12,8,-7.510000000000001,-5.720000000000001,1.79,0.3333333333333333,0.16666666666666666
DEVELOPMENT,0.75,4,11,15,8,-12.880000000000003,-8.860000000000001,4.020000000000001,0.13333333333333333,0.13333333333333333
HOLDOUT,0.75,4,12,19,14,-17.270000000000003,-16.099999999999998,1.1700000000000053,0.2631578947368421,0.05263157894736842
HOLDOUT,0.75,4,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.75,4,14,20,14,-6.62,-10.21,-3.5900000000000007,0.3,0.15
HOLDOUT,0.75,4,15,3,1,-3.53,-3.67,-0.14000000000000012,0.0,0.0
HOLDOUT,0.75,4,16,2,1,1.15,1.22,0.07000000000000006,0.5,0.5
HOLDOUT,0.75,4,18,9,5,-6.6899999999999995,-8.549999999999999,-1.8599999999999994,0.2222222222222222,0.0
HOLDOUT,0.75,4,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.75,4,20,33,23,-26.269999999999996,-29.32,-3.0500000000000043,0.2727272727272727,0.06060606060606061
HOLDOUT,0.75,4,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.75,4,22,10,8,-11.400000000000002,-7.859999999999999,3.5400000000000027,0.1,0.1
DEVELOPMENT,0.75,5,1,8,5,-0.3800000000000001,-4.56,-4.18,0.5,0.125
DEVELOPMENT,0.75,5,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.75,5,3,14,7,-6.59,-10.54,-3.9499999999999993,0.21428571428571427,0.07142857142857142
DEVELOPMENT,0.75,5,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.75,5,5,7,5,-14.000000000000002,-4.01,9.990000000000002,0.0,0.0
DEVELOPMENT,0.75,5,6,17,8,-11.78,-9.829999999999998,1.950000000000001,0.23529411764705882,0.11764705882352941
DEVELOPMENT,0.75,5,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.75,5,9,19,12,-11.989999999999998,-10.59,1.3999999999999986,0.10526315789473684,0.05263157894736842
DEVELOPMENT,0.75,5,10,12,11,-7.510000000000001,-8.15,-0.6399999999999997,0.3333333333333333,0.0
DEVELOPMENT,0.75,5,11,15,11,-12.880000000000003,-10.64,2.240000000000002,0.13333333333333333,0.06666666666666667
HOLDOUT,0.75,5,12,19,17,-17.270000000000003,-16.08,1.1900000000000048,0.2631578947368421,0.0
HOLDOUT,0.75,5,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.75,5,14,20,16,-6.62,-11.07,-4.45,0.3,0.1
