mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovered_trades,recovery_pct,recovered_win_rate,recovered_mean_R,recovered_total_R,not_recovered_trades,not_recovered_win_rate,not_recovered_mean_R,not_recovered_total_R,win_rate_difference,mean_R_difference
0.8,0.5,6,174,13,0.07471264367816093,0.46153846153846156,0.2138461538461538,2.7799999999999994,161,0.19254658385093168,-0.8512422360248448,-137.05,0.26899187768752986,1.0650883898709986
0.8,0.5,7,174,13,0.07471264367816093,0.46153846153846156,0.2138461538461538,2.7799999999999994,161,0.19254658385093168,-0.8512422360248448,-137.05,0.26899187768752986,1.0650883898709986
0.8,0.5,8,174,13,0.07471264367816093,0.46153846153846156,0.2138461538461538,2.7799999999999994,161,0.19254658385093168,-0.8512422360248448,-137.05,0.26899187768752986,1.0650883898709986
0.8,0.75,1,174,0,0.0,,,0.0,174,0.21264367816091953,-0.7716666666666666,-134.26999999999998,,
0.8,0.75,2,174,1,0.005747126436781609,1.0,3.2,3.2,173,0.20809248554913296,-0.7946242774566472,-137.46999999999997,0.791907514450867,3.9946242774566474
0.8,0.75,3,174,4,0.022988505747126436,0.5,0.1925,0.77,170,0.20588235294117646,-0.7943529411764706,-135.04,0.29411764705882354,0.9868529411764706
0.8,0.75,4,174,7,0.040229885057471264,0.5714285714285714,0.6442857142857142,4.51,167,0.19760479041916168,-0.8310179640718562,-138.78,0.3738237810094097,1.4753036783575704
0.8,0.75,5,174,9,0.05172413793103448,0.6666666666666666,0.911111111111111,8.2,165,0.18787878787878787,-0.8634545454545453,-142.46999999999997,0.47878787878787876,1.7745656565656562
0.8,0.75,6,174,10,0.05747126436781609,0.6,0.695,6.949999999999999,164,0.18902439024390244,-0.8610975609756095,-141.21999999999997,0.41097560975609754,1.5560975609756094
0.8,0.75,7,174,10,0.05747126436781609,0.6,0.695,6.949999999999999,164,0.18902439024390244,-0.8610975609756095,-141.21999999999997,0.41097560975609754,1.5560975609756094
0.8,0.75,8,174,10,0.05747126436781609,0.6,0.695,6.949999999999999,164,0.18902439024390244,-0.8610975609756095,-141.21999999999997,0.41097560975609754,1.5560975609756094
0.8,1.0,1,174,0,0.0,,,0.0,174,0.21264367816091953,-0.7716666666666666,-134.26999999999998,,
0.8,1.0,2,174,1,0.005747126436781609,1.0,3.2,3.2,173,0.20809248554913296,-0.7946242774566472,-137.46999999999997,0.791907514450867,3.9946242774566474
0.8,1.0,3,174,2,0.011494252873563218,1.0,1.78,3.56,172,0.20348837209302326,-0.8013372093023254,-137.82999999999998,0.7965116279069767,2.5813372093023252
0.8,1.0,4,174,4,0.022988505747126436,0.5,-0.04999999999999999,-0.19999999999999996,170,0.20588235294117646,-0.7886470588235294,-134.07,0.29411764705882354,0.7386470588235294
0.8,1.0,5,174,5,0.028735632183908046,0.6,0.748,3.74,169,0.20118343195266272,-0.8166272189349112,-138.01,0.3988165680473372,1.5646272189349113
0.8,1.0,6,174,7,0.040229885057471264,0.7142857142857143,1.0614285714285714,7.43,167,0.19161676646706588,-0.8485029940119759,-141.7,0.5226689478186484,1.9099315654405473
0.8,1.0,7,174,7,0.040229885057471264,0.7142857142857143,1.0614285714285714,7.43,167,0.19161676646706588,-0.8485029940119759,-141.7,0.5226689478186484,1.9099315654405473
0.8,1.0,8,174,7,0.040229885057471264,0.7142857142857143,1.0614285714285714,7.43,167,0.19161676646706588,-0.8485029940119759,-141.7,0.5226689478186484,1.9099315654405473
0.9,0.0,1,138,9,0.06521739130434782,0.4444444444444444,-0.47,-4.2299999999999995,129,0.17829457364341086,-0.8821705426356589,-113.8,0.2661498708010336,0.4121705426356589
0.9,0.0,2,138,14,0.10144927536231885,0.42857142857142855,-0.3642857142857143,-5.1000000000000005,124,0.1693548387096774,-0.9107258064516128,-112.92999999999999,0.2592165898617511,0.5464400921658985
0.9,0.0,3,138,16,0.11594202898550725,0.5,-0.08812499999999995,-1.4099999999999993,122,0.1557377049180328,-0.9559016393442623,-116.62,0.3442622950819672,0.8677766393442623
0.9,0.0,4,138,20,0.14492753623188406,0.5,0.13399999999999998,2.6799999999999997,118,0.1440677966101695,-1.0229661016949152,-120.71,0.3559322033898305,1.156966101694915
0.9,0.0,5,138,22,0.15942028985507245,0.5,-0.021818181818181806,-0.47999999999999976,116,0.13793103448275862,-1.0133620689655172,-117.55,0.3620689655172414,0.9915438871473353
0.9,0.0,6,138,23,0.16666666666666666,0.5217391304347826,0.016086956521739127,0.3699999999999999,115,0.13043478260869565,-1.0295652173913044,-118.4,0.3913043478260869,1.0456521739130435
0.9,0.0,7,138,23,0.16666666666666666,0.5217391304347826,0.016086956521739127,0.3699999999999999,115,0.13043478260869565,-1.0295652173913044,-118.4,0.3913043478260869,1.0456521739130435
0.9,0.0,8,138,23,0.16666666666666666,0.5217391304347826,0.016086956521739127,0.3699999999999999,115,0.13043478260869565,-1.0295652173913044,-118.4,0.3913043478260869,1.0456521739130435
0.9,0.25,1,138,4,0.028985507246376812,0.5,-0.24499999999999988,-0.9799999999999995,134,0.1865671641791045,-0.8735074626865672,-117.05000000000001,0.31343283582089554,0.6285074626865673
0.9,0.25,2,138,6,0.043478260869565216,0.3333333333333333,-0.4666666666666666,-2.8,132,0.1893939393939394,-0.8729545454545454,-115.22999999999999,0.14393939393939392,0.4062878787878788
