mae_threshold,recovery_level,deadline,development_trades,triggered_trades,recovered_trades,failed_recovery_trades,development_win_rate,development_mean_R,development_total_R,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD_R,development_profit_factor,development_max_drawdown_R,development_positive_window_pct
0.6,0.4,6,95,95,11,84,0.22105263157894736,-0.5736842105263157,-54.49999999999999,12.990000000000002,0.13673684210526316,0.01052631578947369,14.819999999999965,0.13574373612432605,-54.230000000000004,0.2
0.6,-0.2,3,95,95,28,67,0.09473684210526316,-0.5738947368421052,-54.519999999999996,12.969999999999999,0.1365263157894736,-0.11578947368421051,15.289999999999978,0.02503576537911302,-53.75999999999999,0.1
0.6,0.3,6,95,95,13,82,0.23157894736842105,-0.574736842105263,-54.59999999999999,12.890000000000008,0.13568421052631585,0.02105263157894738,14.639999999999965,0.13236929922135704,-54.410000000000004,0.2
0.6,-0.4,3,95,95,43,52,0.06315789473684211,-0.5747368421052632,-54.60000000000001,12.889999999999986,0.13568421052631563,-0.14736842105263157,15.239999999999974,0.021505376344086023,-53.809999999999995,0.1
0.8,0.3,8,95,89,19,70,0.2736842105263158,-0.5757894736842105,-54.7,12.789999999999992,0.13463157894736832,0.06315789473684214,13.96,0.18089248277927522,-55.08999999999997,0.1
0.7,-0.1,3,95,95,22,73,0.1368421052631579,-0.576,-54.72,12.769999999999996,0.13442105263157889,-0.07368421052631577,15.089999999999968,0.04569236135333102,-53.96,0.1
0.6,0.0,5,95,95,24,71,0.23157894736842105,-0.5762105263157896,-54.74000000000001,12.749999999999986,0.13421052631578922,0.02105263157894738,14.729999999999983,0.06999660210669384,-54.319999999999986,0.2
0.8,0.2,8,95,89,25,64,0.30526315789473685,-0.576421052631579,-54.76,12.729999999999997,0.1339999999999999,0.09473684210526317,13.669999999999995,0.17393271986724992,-55.379999999999974,0.2
0.7,0.4,5,95,95,11,84,0.2,-0.5766315789473685,-54.78000000000001,12.709999999999987,0.13378947368421035,-0.010526315789473661,14.409999999999961,0.129093799682035,-54.64000000000001,0.2
0.75,0.4,4,95,95,8,87,0.18947368421052632,-0.5769473684210525,-54.80999999999999,12.680000000000007,0.1334736842105263,-0.02105263157894735,14.059999999999988,0.10863555049601564,-54.98999999999998,0.1
0.7,0.0,3,95,95,17,78,0.15789473684210525,-0.5769473684210528,-54.81000000000001,12.679999999999986,0.13347368421052608,-0.05263157894736842,14.999999999999964,0.04843750000000001,-54.050000000000004,0.1
0.6,-0.1,6,95,95,33,62,0.21052631578947367,-0.5771578947368421,-54.83,12.659999999999997,0.13326315789473675,0.0,14.769999999999968,0.07130758807588077,-54.28,0.2
0.75,0.3,4,95,95,11,84,0.18947368421052632,-0.5772631578947367,-54.83999999999998,12.650000000000013,0.13315789473684214,-0.02105263157894735,13.999999999999993,0.1081476662872012,-55.049999999999976,0.1
0.8,0.2,4,95,89,13,76,0.22105263157894736,-0.5789473684210525,-54.99999999999999,12.490000000000002,0.1314736842105263,0.01052631578947369,13.839999999999975,0.11461687057308437,-55.209999999999994,0.1
0.8,0.4,5,95,89,9,80,0.24210526315789474,-0.5791578947368422,-55.02000000000001,12.469999999999985,0.13126315789473664,0.03157894736842107,13.759999999999977,0.15444905486399263,-55.28999999999999,0.2
0.7,-0.2,3,95,95,27,68,0.10526315789473684,-0.5805263157894738,-55.150000000000006,12.33999999999999,0.12989473684210506,-0.10526315789473684,14.659999999999961,0.04003481288076588,-54.39000000000001,0.1
0.7,0.3,5,95,95,13,82,0.2,-0.5810526315789474,-55.2,12.289999999999992,0.12936842105263147,-0.010526315789473661,13.909999999999968,0.12241653418124007,-55.14,0.2
0.8,0.1,4,95,89,13,76,0.22105263157894736,-0.5813684210526315,-55.23,12.259999999999998,0.1290526315789473,0.01052631578947369,13.609999999999971,0.1109143593045718,-55.44,0.1
0.7,0.1,4,95,95,16,79,0.21052631578947367,-0.5816842105263156,-55.259999999999984,12.230000000000011,0.12873684210526326,0.0,13.600000000000001,0.09141729694179548,-55.44999999999997,0.1
0.6,0.4,8,95,95,16,79,0.22105263157894736,-0.5829473684210525,-55.379999999999995,12.11,0.1274736842105263,0.01052631578947369,13.879999999999981,0.15476190476190474,-55.16999999999999,0.1
0.8,0.3,5,95,89,12,77,0.24210526315789474,-0.5829473684210528,-55.38000000000001,12.109999999999985,0.12747368421052607,0.03157894736842107,13.319999999999979,0.14891655140617793,-55.72999999999999,0.2
0.6,-0.5,3,95,95,53,42,0.05263157894736842,-0.5837894736842106,-55.46000000000001,12.029999999999987,0.1266315789473682,-0.15789473684210525,14.379999999999967,0.014570007107320542,-54.67,0.0
0.6,-0.3,5,95,95,39,56,0.09473684210526316,-0.5843157894736842,-55.510000000000005,11.97999999999999,0.1261052631578946,-0.11578947368421051,14.549999999999969,0.02460024600246002,-54.5,0.1
0.8,0.1,8,95,89,25,64,0.30526315789473685,-0.584421052631579,-55.52,11.969999999999992,0.1259999999999999,0.09473684210526317,13.089999999999996,0.16246794388293856,-55.95999999999997,0.2
0.7,0.2,4,95,95,14,81,0.18947368421052632,-0.5851578947368419,-55.58999999999998,11.900000000000013,0.12526315789473697,-0.02105263157894735,13.270000000000003,0.09077526987242396,-55.779999999999966,0.1
