window,direction,horizon_bars,quantile,mfe_points,mae_points,validation_start,validation_end
3,short_reversion,60,0.75,277.0,-48.875,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,60,0.9,436.95000000000005,-18.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
4,long_reversion,1,0.1,0.5,-21.0,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,1,0.25,2.0,-13.25,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,1,0.5,5.0,-7.75,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,1,0.75,10.0,-3.5,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,1,0.9,18.75,-0.75,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,3,0.1,1.0,-40.0,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,3,0.25,3.25,-27.0,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,3,0.5,7.75,-16.75,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,3,0.75,16.5,-9.25,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,3,0.9,50.5,-3.75,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,5,0.1,1.0,-55.05,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,5,0.25,4.0,-37.75,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,5,0.5,9.5,-24.5,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,5,0.75,24.75,-14.5,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,5,0.9,81.55000000000007,-6.5,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,10,0.1,1.5,-88.3,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,10,0.25,5.0,-61.0,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,10,0.5,13.0,-42.0,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,10,0.75,50.5,-25.25,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,10,0.9,139.35000000000014,-10.25,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
4,long_reversion,20,0.1,2.5,-147.8,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
