target_points,horizon_bars,window,feature,gain,gain_normalized
1.0,5,6,variance_ratio_5_60,6.619557857513428,0.017034566409886306
1.0,5,6,rolling_range_5,9.44941234588623,0.02431682683424178
1.0,5,6,rolling_range_15,7.815852642059326,0.020113074580944527
1.0,5,6,rolling_range_30,7.2343220710754395,0.018616581711777998
1.0,5,6,rolling_range_60,7.827669620513916,0.020143484029518263
1.0,5,6,atr_5,10.134143829345703,0.02607889375457109
1.0,5,6,atr_15,17.76360511779785,0.045712314564131745
1.0,5,6,atr_30,9.541945457458496,0.024554948694964256
1.0,5,6,atr_60,7.325711250305176,0.01885175981222574
1.0,5,6,normalized_range_5,6.625266075134277,0.017049255761386436
1.0,5,6,normalized_range_15,6.240609169006348,0.016059391520677313
1.0,5,6,normalized_range_30,7.60898494720459,0.019580727623350773
1.0,5,6,normalized_range_60,7.419543743133545,0.0190932254606717
1.0,5,6,vwap_distance,5.756530284881592,0.014813677822459957
1.0,5,6,vwap_distance_pct,7.535732746124268,0.019392222664132572
1.0,5,6,normalized_vwap_distance,6.764510154724121,0.017407582189225484
1.0,5,6,mean_distance_5,7.229876518249512,0.018605141662990453
1.0,5,6,mean_distance_15,9.118127822875977,0.023464309441198625
1.0,5,6,mean_distance_30,6.8890604972839355,0.01772809620653271
1.0,5,6,mean_distance_60,6.942575931549072,0.017865811177617773
1.0,5,6,zscore_5,5.630196571350098,0.014488574533194626
1.0,5,6,zscore_15,5.715610027313232,0.014708374891348526
1.0,5,6,zscore_30,6.643656253814697,0.017096580481067783
1.0,5,6,zscore_60,5.710687160491943,0.014695706537419254
1.0,5,6,abs_zscore_5,6.3692121505737305,0.016390334474447626
1.0,5,6,abs_zscore_15,4.584691524505615,0.011798104031130961
1.0,5,6,abs_zscore_30,6.920907497406006,0.01781005029624873
1.0,5,6,abs_zscore_60,5.293229579925537,0.013621434050866781
1.0,5,6,zscore_direction_5,0.0,0.0
1.0,5,6,zscore_direction_15,0.0,0.0
1.0,5,6,zscore_direction_30,0.0,0.0
1.0,5,6,zscore_direction_60,0.0,0.0
1.0,5,6,log_zscore_5,7.089404106140137,0.018243654282059405
1.0,5,6,log_zscore_30,6.463712692260742,0.01663351925926078
1.0,5,6,log_zscore_60,7.09361457824707,0.018254489381361563
1.0,5,6,autocorrelation_30,6.809459209442139,0.017523252702896813
1.0,5,6,autocorrelation_60,5.3702473640441895,0.01381962924555374
1.0,5,6,ar1_coefficient_30,6.442589282989502,0.016579160928118508
1.0,5,6,ar1_coefficient_60,7.632413864135742,0.019641018876930864
1.0,5,6,mean_reversion_speed_30,6.960646152496338,0.017912312527918403
1.0,5,6,mean_reversion_speed_60,6.147301197052002,0.015819275658101383
1.0,5,6,half_life_30,5.657981872558594,0.014560076371964355
