observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
154,92,62,0.5974025974025974,6.0,6.0,1.0,7,0.19480519480519476,0.5,0.09740259740259738,B1,LONG,2,60-80,3.5,True,1.0781820434635088
154,92,62,0.5974025974025974,7.5,7.5,1.0,9,0.19480519480519476,0.5,0.09740259740259738,B1,LONG,2,60-80,3.5,True,1.0781820434635088
372,194,178,0.521505376344086,25.0,20.0,1.25,10,0.1733870967741935,0.4444444444444444,0.07706093189964158,D2,LONG,1,20-40,3.0,True,1.048805404277011
840,430,410,0.5119047619047619,25.0,20.0,1.25,15,0.1517857142857142,0.4444444444444444,0.06746031746031744,D1,LONG,1,20-40,2.5,True,1.034384029406984
154,82,72,0.5324675324675324,7.5,6.0,1.25,15,0.19805194805194792,0.4444444444444444,0.088023088023088,B1,LONG,2,60-80,3.5,True,1.0312906942359532
154,99,55,0.6428571428571429,5.0,6.0,0.8333333333333334,9,0.17857142857142871,0.5454545454545454,0.09740259740259749,B1,LONG,2,60-80,3.5,True,1.0292704320243369
154,94,60,0.6103896103896104,7.0,7.5,0.9333333333333333,9,0.18008658008658007,0.5172413793103449,0.09314823107926551,B1,LONG,2,60-80,3.5,True,1.008514896039713
154,79,75,0.512987012987013,10.0,7.5,1.3333333333333333,5,0.1969696969696969,0.4285714285714286,0.08441558441558439,B1,LONG,2,60-80,3.5,True,1.0063032405659416
154,79,75,0.512987012987013,10.0,7.5,1.3333333333333333,12,0.1969696969696969,0.4285714285714286,0.08441558441558439,B1,LONG,2,60-80,3.5,True,1.0063032405659416
861,439,422,0.5098722415795587,25.0,20.0,1.25,20,0.14721254355400704,0.4444444444444444,0.06542779713511426,A2,LONG,0,20-40,2.5,True,1.0048705068809385
154,91,63,0.5909090909090909,5.0,5.0,1.0,12,0.18181818181818188,0.5,0.09090909090909094,B1,LONG,2,60-80,3.5,True,1.0003487835211733
154,91,63,0.5909090909090909,6.0,6.0,1.0,6,0.18181818181818188,0.5,0.09090909090909094,B1,LONG,2,60-80,3.5,True,1.0003487835211733
154,91,63,0.5909090909090909,7.5,7.5,1.0,8,0.18181818181818188,0.5,0.09090909090909094,B1,LONG,2,60-80,3.5,True,1.0003487835211733
154,88,66,0.5714285714285714,8.0,7.5,1.0666666666666667,6,0.18095238095238086,0.48387096774193555,0.08755760368663584,B1,LONG,2,60-80,3.5,True,0.9778069104231188
154,88,66,0.5714285714285714,8.0,7.5,1.0666666666666667,7,0.18095238095238086,0.48387096774193555,0.08755760368663584,B1,LONG,2,60-80,3.5,True,0.9778069104231188
