probability_decile,mean_probability,realized_probability,mean_future_mfe,observations,target_points,horizon_bars
7,0.24635644682893196,0.2586019558131112,26.469847881202462,2761,35.0,10
8,0.395270829149365,0.3668960521550163,32.93960521550163,2761,35.0,10
9,0.6630140178901309,0.5222745382107932,50.5333212604129,2761,35.0,10
0,0.0005919199823772146,0.02389572773352643,11.229815351194786,2762,35.0,20
1,0.008684174918489681,0.10829409634190511,16.93453458891706,2761,35.0,20
2,0.03787786242366917,0.12893879029337196,18.657189424121697,2761,35.0,20
3,0.08776373915814135,0.16407098877218398,21.220028975009054,2761,35.0,20
4,0.14968486706369039,0.21695038029699384,24.83448026077508,2761,35.0,20
5,0.22196007610900123,0.2803332126041289,28.67810575878305,2761,35.0,20
6,0.3096778252469332,0.3259688518652662,31.096975733429918,2761,35.0,20
7,0.42116905887547457,0.417964505613908,38.64695762404926,2761,35.0,20
8,0.5643183884198404,0.5041651575516117,46.14215863817457,2761,35.0,20
9,0.7749362511938787,0.6186164433176385,64.71504889532778,2761,35.0,20
0,0.0017138262617513557,0.042722664735698766,13.118120926864592,2762,35.0,30
1,0.021314275420308976,0.15610286128214415,20.416425208257877,2761,35.0,30
2,0.07993245917368695,0.2126041289387903,23.27499094530967,2761,35.0,30
3,0.15951317540656307,0.2473741398044187,26.872057225642884,2761,35.0,30
4,0.2410836358490909,0.31256791017747193,30.847066280333213,2761,35.0,30
5,0.3273222062174111,0.3542194856935893,34.19404201376313,2761,35.0,30
6,0.42259542521511634,0.4089098152843173,37.96224194132561,2761,35.0,30
7,0.5318366475875548,0.5349511046722202,49.856302064469396,2761,35.0,30
8,0.6606383567182795,0.5780514306410721,55.24873234335386,2761,35.0,30
9,0.8218853480571511,0.671858022455632,75.52526258601956,2761,35.0,30
0,0.01893111979520216,0.14156408399710355,19.116944243301955,2762,35.0,60
1,0.1329659379503296,0.3049619703006157,29.702553422672946,2761,35.0,60
2,0.25732382624661393,0.39007605939876855,34.531781963056865,2761,35.0,60
3,0.36412116786959553,0.4759145237232887,42.23361101050344,2761,35.0,60
4,0.45108297160681243,0.48786671495834844,46.534136182542554,2761,35.0,60
5,0.5311307180882018,0.5233611010503441,49.37586019558131,2761,35.0,60
6,0.6052309544092501,0.5632017385005433,56.02073524085476,2761,35.0,60
7,0.6829347590612614,0.5921767475552336,62.490402028250635,2761,35.0,60
8,0.7691014451593733,0.6628033321260413,73.18426294820718,2761,35.0,60
9,0.880367012915081,0.7450199203187251,104.10331401666063,2761,35.0,60
0,0.0689904499462043,0.33598841419261405,31.894822592324402,2762,35.0,120
1,0.29022830333432525,0.5255342267294458,48.7875769648678,2761,35.0,120
2,0.44809884874555606,0.5827598696124593,56.78558493299529,2761,35.0,120
3,0.5485451087404187,0.6204273813835567,64.92167692864903,2761,35.0,120
4,0.6259737141276563,0.6262223831944947,69.15872872147773,2761,35.0,120
5,0.6901981844197405,0.6657008330315103,73.70689967403115,2761,35.0,120
6,0.7482714541836607,0.6859833393697935,83.68516841724013,2761,35.0,120
7,0.8019993753590389,0.7142339731981167,89.37423035132198,2761,35.0,120
8,0.8567172227368671,0.7323433538572981,103.50760593987685,2761,35.0,120
9,0.9303020350486634,0.781238681637088,140.27589641434264,2761,35.0,120
0,5.2487173118084484e-05,0.004706734250543085,9.557295438088342,2762,50.0,5
1,0.00012556962475235607,0.0003621876131836291,9.518471568272366,2761,50.0,5
2,0.00023456113688940874,0.004346251358203549,10.075244476638899,2761,50.0,5
3,0.00041921181748130374,0.00833031510322347,11.328685258964143,2761,50.0,5
4,0.0007576712291894837,0.010865628395508874,11.668507787033683,2761,50.0,5
5,0.0014566879883767447,0.012676566461427018,13.158819268381022,2761,50.0,5
6,0.003227403056944428,0.023542194856935893,14.648315827598696,2761,50.0,5
7,0.009188402227231642,0.03259688518652662,17.59534588917059,2761,50.0,5
8,0.037052419347629865,0.08837377761680551,22.90601231437885,2761,50.0,5
9,0.2705873885569431,0.2640347700108656,38.73152843172763,2761,50.0,5
0,9.301394464399918e-05,0.003620564808110065,10.311821144098479,2762,50.0,10
1,0.00029648679539400033,0.006881564650488953,11.652933719666787,2761,50.0,10
2,0.0008206932759055802,0.01195219123505976,13.410086925027164,2761,50.0,10
