side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,breakeven_wr,wr_edge_vs_breakeven,wr_ge_50,positive_expectancy,sufficient_sample,candidate,research_score
LONG,0,80-100,2.5,922,15.0,10.0,1.5,60,0.3991323210412147,-0.002169197396963196,0.4,-0.0008676789587853118,False,False,True,False,0.19867678958785245
SHORT,2,80-100,3.0,218,15.0,10.0,1.5,120,0.3990825688073394,-0.002293577981651529,0.4,-0.0009174311926606338,False,False,True,False,0.19860091743119257
LONG,1,80-100,3.5,213,15.0,10.0,1.5,20,0.3990610328638497,-0.0023474178403757318,0.4,-0.000938967136150326,False,False,True,False,0.1985680751173708
LONG,1,80-100,3.5,213,15.0,10.0,1.5,30,0.3990610328638497,-0.0023474178403757318,0.4,-0.000938967136150326,False,False,True,False,0.1985680751173708
LONG,0,80-100,1.5,9442,15.0,10.0,1.5,120,0.3989620843041728,-0.0025947892395680183,0.4,-0.0010379156958272295,False,False,True,False,0.1984171785638635
LONG,0,40-60,3.0,199,20.0,10.0,2.0,120,0.3517587939698492,0.055276381909547645,0.3333333333333333,0.0184254606365159,False,True,True,False,0.19798994974874365
LONG,0,60-80,2.0,3715,15.0,10.0,1.5,60,0.3986541049798116,-0.003364737550471064,0.4,-0.0013458950201884479,False,False,True,False,0.19794751009421263
LONG,0,0-20,2.0,4136,5.0,5.0,1.0,60,0.4613152804642166,-0.07736943907156674,0.5,-0.038684719535783396,False,False,True,False,0.19777562862669246
SHORT,0,20-40,1.5,10677,5.0,5.0,1.0,20,0.4611782335862133,-0.07764353282757336,0.5,-0.03882176641378671,False,False,True,False,0.19759061534138797
SHORT,0,0-20,1.5,13687,15.0,10.0,1.5,120,0.3983341857236794,-0.004164535690801441,0.4,-0.0016658142763206207,False,False,True,False,0.1974596332286111
LONG,0,20-40,3.0,236,15.0,10.0,1.5,120,0.3983050847457627,-0.004237288135593209,0.4,-0.001694915254237317,False,False,True,False,0.19741525423728815
LONG,1,20-40,3.5,118,15.0,10.0,1.5,20,0.3983050847457627,-0.004237288135593209,0.4,-0.001694915254237317,False,False,True,False,0.19741525423728815
LONG,1,0-20,3.0,452,15.0,10.0,1.5,60,0.3982300884955752,-0.004424778761062065,0.4,-0.0017699115044248481,False,False,True,False,0.19730088495575213
LONG,1,0-20,3.0,452,15.0,10.0,1.5,120,0.3982300884955752,-0.004424778761062065,0.4,-0.0017699115044248481,False,False,True,False,0.19730088495575213
SHORT,2,80-100,1.5,4737,5.0,5.0,1.0,30,0.4608401942157483,-0.07831961156850342,0.5,-0.03915980578425171,False,False,True,False,0.1971342621912602
LONG,0,0-20,2.5,1085,5.0,5.0,1.0,120,0.4608294930875576,-0.07834101382488479,0.5,-0.03917050691244239,False,False,True,False,0.19711981566820277
LONG,1,40-60,1.5,5617,15.0,10.0,1.5,120,0.3980772654441873,-0.004806836389531721,0.4,-0.0019227345558127107,False,False,True,False,0.19706782980238563
LONG,1,40-60,2.0,2570,15.0,10.0,1.5,120,0.3980544747081712,-0.004863813229572078,0.4,-0.0019455252918288424,False,False,True,False,0.19703307392996106
SHORT,0,20-40,2.5,784,15.0,10.0,1.5,120,0.3979591836734694,-0.005102040816326592,0.4,-0.0020408163265306367,False,False,True,False,0.1968877551020408
LONG,0,80-100,1.5,9442,30.0,15.0,2.0,120,0.3510908705782673,0.05327261173480202,0.3333333333333333,0.017757537244934007,False,True,True,False,0.19685447998305447
LONG,1,80-100,2.0,3899,15.0,10.0,1.5,120,0.3977943062323673,-0.0055142344190818315,0.4,-0.0022056937676327437,False,False,True,False,0.1966363170043601
LONG,0,40-60,2.5,792,15.0,10.0,1.5,30,0.3977272727272727,-0.005681818181818232,0.4,-0.002272727272727315,False,False,True,False,0.19653409090909088
LONG,2,0-20,1.5,7797,15.0,10.0,1.5,120,0.3977170706682057,-0.005707323329485647,0.4,-0.0022829293317943034,False,False,True,False,0.19651853276901374
LONG,0,60-80,1.5,9666,15.0,10.0,1.5,60,0.3975791433891992,-0.006052141527001953,0.4,-0.0024208566108008256,False,False,True,False,0.19630819366852878
