target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,10,3,9,147,0.99328864,0.9795918367346939,29.253401360544217
1.0,10,4,0,174,0.93940777,0.9597701149425287,19.570402298850574
1.0,10,4,1,174,0.9643847,0.9425287356321839,17.879310344827587
1.0,10,4,2,174,0.971965,0.9597701149425287,19.033045977011493
1.0,10,4,3,174,0.9762077,0.9712643678160919,23.33189655172414
1.0,10,4,4,174,0.97970563,0.9770114942528736,20.31896551724138
1.0,10,4,5,173,0.98280275,0.9653179190751445,24.026011560693643
1.0,10,4,6,174,0.9851951,0.9597701149425287,24.40948275862069
1.0,10,4,7,174,0.9873968,0.9827586206896551,29.16810344827586
1.0,10,4,8,174,0.9898899,0.9655172413793104,26.979885057471265
1.0,10,4,9,174,0.9928175,0.9482758620689655,32.17097701149425
1.0,10,5,0,136,0.9249877,0.9558823529411765,24.77573529411765
1.0,10,5,1,135,0.9547278,0.9185185185185185,22.227777777777778
1.0,10,5,2,135,0.9642378,0.9851851851851852,18.868518518518517
1.0,10,5,3,135,0.9695691,0.9629629629629629,28.007407407407406
1.0,10,5,4,135,0.9739191,0.9555555555555556,22.103703703703705
1.0,10,5,5,135,0.97797555,0.9851851851851852,23.414814814814815
1.0,10,5,6,135,0.9817081,0.9703703703703703,25.546296296296298
1.0,10,5,7,135,0.98482394,0.9703703703703703,25.42222222222222
1.0,10,5,8,135,0.9881443,0.9629629629629629,34.412962962962965
1.0,10,5,9,136,0.9919997,0.9852941176470589,30.645220588235293
1.0,10,6,0,137,0.92065495,0.9781021897810219,18.613138686131386
1.0,10,6,1,137,0.95301706,0.9197080291970803,16.585766423357665
1.0,10,6,2,137,0.962067,0.9635036496350365,21.313868613138688
1.0,10,6,3,137,0.9678383,0.9562043795620438,18.846715328467152
1.0,10,6,4,137,0.97210985,0.9708029197080292,20.687956204379564
1.0,10,6,5,136,0.97550124,0.9632352941176471,21.988970588235293
1.0,10,6,6,137,0.9786618,0.9635036496350365,21.138686131386862
1.0,10,6,7,137,0.98157007,0.9635036496350365,23.144160583941606
1.0,10,6,8,137,0.98485595,0.948905109489051,22.07846715328467
1.0,10,6,9,137,0.9897248,0.948905109489051,25.17153284671533
1.0,10,7,0,121,0.8914716,0.9256198347107438,11.537190082644628
1.0,10,7,1,121,0.93675905,0.9338842975206612,13.233471074380166
1.0,10,7,2,120,0.94976413,0.9416666666666667,14.1625
1.0,10,7,3,121,0.95698935,0.9586776859504132,16.214876033057852
1.0,10,7,4,121,0.9621285,0.9504132231404959,17.510330578512395
1.0,10,7,5,120,0.96644205,0.9916666666666667,15.94375
1.0,10,7,6,121,0.9703513,0.9504132231404959,18.14876033057851
1.0,10,7,7,120,0.9746116,0.95,18.56875
1.0,10,7,8,121,0.97929376,0.9669421487603306,17.871900826446282
1.0,10,7,9,121,0.9854745,0.9669421487603306,26.43595041322314
1.0,10,8,0,131,0.90554935,0.916030534351145,11.450381679389313
1.0,10,8,1,131,0.9429107,0.9389312977099237,11.591603053435115
1.0,10,8,2,130,0.95328647,0.9461538461538461,16.53076923076923
1.0,10,8,3,131,0.95911777,0.9618320610687023,13.108778625954198
1.0,10,8,4,130,0.9633423,0.9307692307692308,14.515384615384615
1.0,10,8,5,131,0.9669179,0.9618320610687023,15.303435114503817
1.0,10,8,6,130,0.97047484,0.9538461538461539,14.848076923076922
1.0,10,8,7,131,0.9743966,0.9618320610687023,19.419847328244273
1.0,10,8,8,130,0.97878456,0.9692307692307692,17.99230769230769
1.0,10,8,9,131,0.98596567,0.9694656488549618,24.452290076335878
1.0,10,9,0,101,0.89650404,0.9207920792079208,12.007425742574258
1.0,10,9,1,101,0.9316991,0.9405940594059405,16.23267326732673
1.0,10,9,2,101,0.9444077,0.9405940594059405,16.413366336633665
1.0,10,9,3,100,0.9519767,0.93,12.03
1.0,10,9,4,101,0.9575428,0.9603960396039604,16.586633663366335
