condition,condition_value,horizon_bars,mean_window_return,median_window_return,min_window_return,max_window_return,positive_window_ratio
zscore_60,0:1.0,5,3.7877094505588e-06,5.8555411256360795e-06,-5.855015164045114e-05,5.113886850722258e-05,0.6363636363636364
zscore_60,0:1.0,10,1.0622448630155145e-05,1.7703372087108347e-05,-0.0001110196985926,0.0001116214091966,0.6363636363636364
zscore_60,0:1.0,20,2.282921179261563e-05,2.965731127643378e-05,-0.0002543722010617,0.0001985953643212,0.6818181818181818
zscore_60,0:1.0,30,2.2175275136639522e-05,6.368854773513981e-05,-0.000275179936664,0.0002963318519664,0.6818181818181818
zscore_60,0:1.0,60,5.0732607490629945e-05,4.7265979876590074e-05,-0.0004637797737851,0.000467810479748,0.5909090909090909
zscore_60,1.0:1.5,1,1.745224398637208e-06,-1.1342877294174822e-06,-2.185959318744633e-05,3.135323642105691e-05,0.45454545454545453
zscore_60,1.0:1.5,3,5.029016237584947e-06,4.644040167930252e-06,-5.326206308785744e-05,5.241515040818743e-05,0.6363636363636364
zscore_60,1.0:1.5,5,8.968938777887692e-06,1.3727918644727734e-05,-6.502837475232654e-05,8.528300772580923e-05,0.6363636363636364
zscore_60,1.0:1.5,10,1.3180594621513114e-05,1.9601776678411954e-05,-0.0001165291460468,0.0001178799007254,0.6818181818181818
zscore_60,1.0:1.5,20,2.966866353521913e-05,4.568843356684044e-05,-0.0002094549800711,0.0001984218852613,0.6818181818181818
zscore_60,1.0:1.5,30,4.051309083010121e-05,6.183352591264873e-05,-0.0003747967130273,0.0003597852527023,0.6363636363636364
zscore_60,1.0:1.5,60,6.928561976911404e-05,0.00010676542036466129,-0.0008157617318085,0.0005766652658958,0.5909090909090909
zscore_60,1.5:2.0,1,2.763036620591781e-06,3.95193908448892e-06,-4.414690343814639e-05,3.949575903428733e-05,0.7272727272727273
zscore_60,1.5:2.0,3,5.9821451309176195e-06,5.927985549545316e-06,-6.248569296404481e-05,5.208607204974715e-05,0.6363636363636364
