target_points,horizon_bars,window,observations,baseline_probability,mean_model_probability,realized_probability,probability_lift_vs_baseline,top_decile_realized_probability,top_decile_lift_vs_baseline,mean_future_mfe
2.0,30,3,1468,0.9661523145843703,0.9682559,0.970708446866485,0.004556132282114711,0.9659863945578231,-0.00016592002654725047,39.95759536784741
2.0,30,4,1739,0.9597674418604651,0.972787,0.9591719378953422,-0.0005955039651229788,0.9770114942528736,0.01724405239240845,42.2673950546291
2.0,30,5,1352,0.9531755915317559,0.96810055,0.9600591715976331,0.006883580065877193,0.9852941176470589,0.03211852611530297,46.09134615384615
2.0,30,6,1369,0.9573028464769016,0.965324,0.960555149744339,0.0032523032674374175,0.9708029197080292,0.013500073231127674,34.91216216216216
2.0,30,7,1207,0.9444752915047196,0.95785195,0.9378624689312345,-0.0066128225734851664,0.9586776859504132,0.0142023944456936,29.034382767191385
2.0,30,8,1306,0.9428198433420365,0.95239407,0.945635528330781,0.0028156849887445157,0.9389312977099237,-0.0038885456321128276,28.21190658499234
2.0,30,9,1008,0.9426551453260016,0.94845283,0.9434523809523809,0.0007972356263793445,0.9801980198019802,0.037542874475978594,29.24826388888889
2.0,30,10,897,0.9514229636898921,0.9452394,0.9542920847268673,0.0028691210369752307,0.9888888888888889,0.03746592519899683,28.439241917502788
2.0,30,11,1085,0.9382151029748284,0.93898034,0.9336405529953917,-0.004574549979436626,0.9357798165137615,-0.0024352864610668323,27.55898617511521
2.0,30,12,1208,0.9534031413612566,0.9424802,0.9412251655629139,-0.012177975798342677,0.9669421487603306,0.013539007399073988,30.433153973509935
2.0,30,13,1287,0.9580005153311002,0.9457573,0.9634809634809635,0.0054804481498632596,0.9689922480620154,0.010991732730915249,32.55982905982906
2.0,30,14,1246,0.97002457002457,0.96065074,0.9759229534510433,0.005898383426473308,0.992,0.021975429975430005,50.52808988764045
2.0,30,15,1000,0.9713977334052887,0.96386534,0.981,0.009602266594711306,0.98,0.008602266594711305,39.48725
2.0,30,16,1131,0.9728495915425276,0.97747624,0.9743589743589743,0.001509382816446747,0.9911504424778761,0.0183008509353485,61.5499557913351
2.0,30,17,998,0.964633521271143,0.96640176,0.9599198396793587,-0.004713681591784313,0.96,-0.004633521271143026,44.10170340681363
2.0,30,18,891,0.9733298808907301,0.9660194,0.9741863075196409,0.0008564266289107225,0.9662921348314607,-0.007037746059269434,45.833052749719414
2.0,30,19,1090,0.9679980153807988,0.974991,0.9733944954128441,0.005396480032045292,0.9908256880733946,0.02282767269259578,52.45940366972477
2.0,30,20,1058,0.976033710824335,0.97561294,0.9792060491493384,0.00317233832500341,0.9716981132075472,-0.004335597616787812,64.25685255198488
2.0,30,21,1144,0.986470161874849,0.9804095,0.9895104895104895,0.0030403276356404385,1.0,0.013529838125150961,70.49213286713287
2.0,30,22,235,0.972007722007722,0.9802606,0.9659574468085106,-0.006050275199211419,0.9583333333333334,-0.013674388674388638,44.56382978723404
3.0,5,1,1239,0.7583224115334207,0.8081536,0.7893462469733656,0.031023835439944913,0.8951612903225806,0.1368388787891599,10.357546408393866
3.0,5,2,990,0.7646454265159301,0.7847546,0.7919191919191919,0.027273765403261763,0.9191919191919192,0.15454649267598908,9.63560606060606
3.0,5,3,1468,0.8680935788949726,0.88339007,0.8746594005449592,0.006565821649986536,0.9523809523809523,0.0842873734859797,17.900544959128066
3.0,5,4,1739,0.8688372093023256,0.9000079,0.8723404255319149,0.0035032162295893787,0.9080459770114943,0.0392087677091687,16.90037377803335
3.0,5,5,1352,0.8600249066002491,0.8841903,0.8698224852071006,0.009797578606851487,0.9338235294117647,0.07379862281151561,17.08117603550296
3.0,5,6,1369,0.850443303779748,0.87481135,0.8531775018261505,0.002734198046402514,0.9343065693430657,0.08386326556331769,15.697772096420746
3.0,5,7,1207,0.8131593559133815,0.8468852,0.8293289146644574,0.01616955875107584,0.9173553719008265,0.10419601598744499,12.635666942833472
3.0,5,8,1306,0.8,0.8414,0.8292496171516079,0.0292496171516079,0.8931297709923665,0.09312977099236641,11.970903522205207
3.0,5,9,1008,0.7905210788164441,0.823182,0.810515873015873,0.019994794199428956,0.9504950495049505,0.15997397068850638,11.323660714285714
3.0,5,10,897,0.8267909715407262,0.8251262,0.8205128205128205,-0.006278151027905743,0.8666666666666667,0.03987569512594047,12.204292084726868
3.0,5,11,1085,0.7697368421052632,0.7809093,0.783410138248848,0.013673296143584812,0.8990825688073395,0.12934572670207634,11.386866359447005
3.0,5,12,1208,0.8397905759162304,0.819492,0.831953642384106,-0.007836933532124446,0.8760330578512396,0.03624248193500923,13.415769867549669
3.0,5,13,1287,0.8350940479257923,0.83364475,0.8523698523698524,0.017275804444060072,0.9689922480620154,0.1338982001362231,14.998251748251748
3.0,5,14,1246,0.8788697788697789,0.8685091,0.891653290529695,0.012783511659916091,0.928,0.04913022113022114,20.309390048154093
3.0,5,15,1000,0.883702104695089,0.86503017,0.889,0.005297895304910982,0.94,0.05629789530491092,17.773
3.0,5,16,1131,0.8913983661701105,0.90694726,0.896551724137931,0.005153357967820571,0.911504424778761,0.020106058608650557,27.232758620689655
3.0,5,17,998,0.8605843157355203,0.87238425,0.8937875751503006,0.033203259414780306,0.94,0.07941568426447965,18.522795591182366
3.0,5,18,891,0.8700155359917141,0.8689346,0.8787878787878788,0.008772342796164678,0.8876404494382022,0.01762491344648809,20.717171717171716
3.0,5,19,1090,0.883651699330191,0.90397054,0.9174311926605505,0.033779493330359456,0.9541284403669725,0.07047674103678148,24.921100917431193
3.0,5,20,1058,0.9033447458519884,0.9085951,0.9187145557655955,0.015369809913607035,0.9339622641509434,0.030617518298954982,22.69470699432892
