trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
391,0.5754475703324808,0.025991048593350382,10.1625,1.0673682466025851,-10.962499999999999,7,0.8363568352139548,2,0.7,0.75R,15
398,0.48743718592964824,0.013002512562814086,5.175000000000006,1.0333172380492517,-10.125000000000004,7,0.4922446387079551,2,0.7,1.00R,5
377,0.506631299734748,0.03580901856763926,13.5,1.084612973989345,-9.300000000000002,6,1.138062461436749,2,0.7,1.00R,10
366,0.5273224043715847,0.047096994535519125,17.2375,1.107566302652106,-8.4,7,1.4073510330650971,2,0.7,1.00R,15
353,0.6487252124645893,0.029284702549575072,10.3375,1.1027074018877299,-9.8375,5,1.2213886631786102,2,0.75,0.50R,5
341,0.6686217008797654,0.03885630498533723,13.249999999999996,1.133619059624354,-9.7875,5,1.4724841147964267,2,0.75,0.50R,10
336,0.6904761904761905,0.05018601190476189,16.862499999999997,1.1723961661341855,-9.525,5,1.8207378324033179,2,0.75,0.50R,15
330,0.5666666666666667,0.0029242424242424334,0.965000000000003,1.0081909814323609,-11.985000000000003,6,0.0984805414006993,2,0.75,0.67R,5
319,0.5862068965517241,0.01904388714733543,6.075000000000003,1.0524102232287287,-10.545000000000003,6,0.5940814708354691,2,0.75,0.67R,10
316,0.6044303797468354,0.028370253164556977,8.965000000000005,1.0768291376539905,-11.517500000000002,6,0.8230113379412789,2,0.75,0.67R,15
323,0.541795665634675,-0.008939628482972136,-2.8875,0.9767137096774194,-18.9,6,-0.29226866768970167,2,0.75,0.75R,5
314,0.5509554140127388,0.006210191082802543,1.9499999999999984,1.0157575757575759,-14.2125,6,0.17925634652203035,2,0.75,0.75R,10
309,0.56957928802589,0.012459546925566336,3.849999999999998,1.0309454435848489,-15.774999999999999,6,0.33384068445208814,2,0.75,0.75R,15
308,0.5,0.020129870129870126,6.199999999999999,1.0487900845957114,-10.3625,9,0.5712764437459485,2,0.75,1.00R,5
297,0.5050505050505051,0.0404040404040404,11.999999999999998,1.0921393607831846,-9.4,6,0.9966719496253693,2,0.75,1.00R,10
290,0.5275862068965518,0.0464655172413793,13.474999999999998,1.1035642232683254,-12.0625,6,1.0737771428084035,2,0.75,1.00R,15
272,0.6654411764705882,0.05073529411764706,13.8,1.1845845176391907,-8.337499999999999,4,2.0613995375101988,2,0.8,0.50R,5
266,0.6917293233082706,0.06066729323308272,16.137500000000003,1.2161392934873598,-8.0,4,2.3594548826132886,2,0.8,0.50R,10
